DBH,Height,log DBH,log Height
5.7,6,0.755874856,0.77815125
5.7,6.2,0.755874856,0.792391689
2.2,2.6,0.342422681,0.414973348
4.1,4.8,0.612783857,0.681241237
4.2,4.8,0.62324929,0.681241237
5.3,3.8,0.72427587,0.579783597
6.2,4.2,0.792391689,0.62324929
7,5,0.84509804,0.698970004
7.1,5.4,0.851258349,0.73239376
7.1,5.7,0.851258349,0.755874856
7.2,5.8,0.857332496,0.763427994
5.4,3.5,0.73239376,0.544068044
7,4.75,0.84509804,0.67669361
8.8,5,0.944482672,0.698970004
9.6,5.7,0.982271233,0.755874856
10,6,1,0.77815125
11,6.5,1.041392685,0.812913357
3.5,2.8,0.544068044,0.447158031
4.1,3.1,0.612783857,0.491361694
5,3.5,0.698970004,0.544068044
5.7,5,0.755874856,0.698970004
7.1,5.5,0.851258349,0.740362689
7.4,5.7,0.86923172,0.755874856
6.8,4.8,0.832508913,0.681241237
8.2,5.7,0.913813852,0.755874856
8.7,6,0.939519253,0.77815125
9.6,7.2,0.982271233,0.857332496
11.3,9,1.053078443,0.954242509
11.3,9.3,1.053078443,0.968482949
7.9,4.2,0.897627091,0.62324929
9.4,5.2,0.973127854,0.716003344
9.7,5.6,0.986771734,0.748188027
10.2,6.2,1.008600172,0.792391689
11.7,8,1.068185862,0.903089987
11.7,8,1.068185862,0.903089987
2.7,3.3,0.431363764,0.51851394
3.2,3.6,0.505149978,0.556302501
4.6,4,0.662757832,0.602059991
5.6,5,0.748188027,0.698970004
7.6,6.5,0.880813592,0.812913357
8.1,6.7,0.908485019,0.826074803
2,3.3,0.301029996,0.51851394
2.3,3.6,0.361727836,0.556302501
3.2,4,0.505149978,0.602059991
3.9,4.1,0.591064607,0.612783857
4.8,6,0.681241237,0.77815125
5,6.2,0.698970004,0.792391689
5.2,4.8,0.716003344,0.681241237
6.2,5.3,0.792391689,0.72427587
6.9,5.5,0.838849091,0.740362689
8.3,6,0.919078092,0.77815125
8.9,7,0.949390007,0.84509804
8.9,7.1,0.949390007,0.851258349
9.5,4.9,0.977723605,0.69019608
11.3,6.5,1.053078443,0.812913357
11.8,7.5,1.071882007,0.875061263
15.3,8,1.184691431,0.903089987
15.5,8.7,1.190331698,0.939519253
15.6,8.9,1.193124598,0.949390007
7.3,4.9,0.86332286,0.69019608
8.2,5.6,0.913813852,0.748188027
8.6,6.4,0.934498451,0.806179974
9.6,6.5,0.982271233,0.812913357
9.8,7,0.991226076,0.84509804
9.8,7.2,0.991226076,0.857332496
5,4.8,0.698970004,0.681241237
5.9,5.6,0.770852012,0.748188027
6.6,6,0.819543936,0.77815125
