ht,rd
33,104.9
38,95
34,59.1
46,98.5
25,48
28,51.1
48,127
43,91.5
46,88.9
34,48.1
27,48.2
29,50.4
21,41.1
18,65.2
22,38.9
25,45.5
25,119.4
33,99.2
21,42.1
38,86
37,62.8
45,144
29,53.4
37,111.5
16,36.8
24,41
36,109.5
43,106
29,43
36,94.7
32,43.5
39,47.7
17,56.3
17,29.8
20,30.4
9,11.1
12,11.1
16,26.1
15,16.3
12,22.8
12,19.2
17,23.5
8,10.2
23,24
12,13.2
15,25.3
16,27.8
23,29.4
21,12.9
8,16
12,16.2
12,11.8
9,15.2
15,15.9
18,25.2
12,12.2
13,10.5
13,33.1
9,10.3
9,15.1
14,16.4
22,16.8
20,34.7
23,26.8
12,10.5
23,32.2
11,15.8
10,10.5
12,18
13,12.9
8,14.8
12,16.2
9,15.4
12,25.4
14,31.5
12,12.3
14,29.6
7,16.7
13,21
18,16.4
17,26.1
13,12.4
12,16.6
18,22.5
12,15.3
13,12.4
9,12.3
13,16.9
17,14.3
11,12.9
7,20.4
12,17.8
7,10.6
14,23
14,23.7
24,25.9
13,22.1
6,10.1
11,10.3
11,13.5
12,10.1
17,18
10,24.9
12,19
9,17.1
12,15.5
16,26.5
24,25.6
14,19.5
8,13.9
13,16.8
10,11.9
12,11.8
12,16.9
12,10.2
5,13.5
23,34.7
17,24.7
10,10.8
12,14.1
9,12.4
9,10.1
12,12.1
14,17.5
10,15.3
13,20.3
17,24.4
13,12.3
11,13.5
12,11.4
14,17.3
13,23
23,32.2
14,19.8
12,16.8
9,13.3
13,13.7
14,21.2
12,14.1
13,18.1
7,14.5
10,16.7
19,33
12,19.1
9,12.9
12,25.1
9,12.1
11,11.1
14,34.1
15,14.2
10,20.8
13,22.2
13,14.3
17,26
21,27.8
8,16.4
16,22.2
9,10
10,14.9
11,21.5
3,14.9
9,13.3
12,16.1
10,17.5
14,18.2
13,25.4
10,14
15,20.8
9,13.3
10,19.5
11,10.8
9,14.9
8,10.8
19,20.6
10,21.9
12,34.1
11,12.4
16,31.6
20,25
8,11.7
12,18.1
9,10.2
7,10.2
9,13.3
7,14
9,17.2
14,33
11,16.6
13,13.8
13,14.7
16,11.8
13,16.2
8,10.9
13,12.3
14,14.6
14,13.4
17,18.1
12,12.2
4,17
8,12.2
8,13.6
18,27.6
9,17.7
11,15.1
10,14.8
23,23.5
9,13.5
13,17.2
14,28.1
22,28.3
14,13.9
19,29.9
12,22.6
12,18.8
9,10.5
8,10.1
8,11.6
11,13.8
22,30
7,19.5
10,11.9
