Treatment,Block,Plot,Tree_ID,Species,Sample_ID,Measurement_Period,Year,Month,DBH,Height,Comments
Control,B1,P3,i164,Rollinia exsucca,Control>B1>P3>i164>Rollinia exsucca,5-Jul,2005,July,7.1,6,
Control,B1,P3,i165,Solanum crinitum,Control>B1>P3>i165>Solanum crinitum,Nov-99,1999,November,4,2.75,
Control,B1,P3,i165,Solanum crinitum,Control>B1>P3>i165>Solanum crinitum,May-00,2000,May,6,2.85,
Control,B1,P3,i165,Solanum crinitum,Control>B1>P3>i165>Solanum crinitum,1-Jun,2001,June,4,3,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,Nov-99,1999,November,5,3,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,May-00,2000,May,6.5,3.6,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,1-Jun,2001,June,7.4,4.2,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,2-Jul,2002,July,7.5,5,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,4-Jul,2004,July,9,6,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,5-Jul,2005,July,9,6.1,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,Nov-99,1999,November,2,2.3,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,May-00,2000,May,2.8,2.6,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,1-Jun,2001,June,3.4,3,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,2-Jul,2002,July,3.5,4,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,4-Jul,2004,July,3.7,4.5,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,5-Jul,2005,July,3.7,4.6,
Control,B1,P3,i168,Rollinia exsucca,Control>B1>P3>i168>Rollinia exsucca,Nov-99,1999,November,4.9,4,
Control,B1,P3,i168,Rollinia exsucca,Control>B1>P3>i168>Rollinia exsucca,May-00,2000,May,6.5,4.8,
Control,B1,P3,i168,Rollinia exsucca,Control>B1>P3>i168>Rollinia exsucca,1-Jun,2001,June,7.3,5.2,
Control,B1,P3,i168,Rollinia exsucca,Control>B1>P3>i168>Rollinia exsucca,2-Jul,2002,July,7.4,6,
Control,B1,P3,i168,Rollinia exsucca,Control>B1>P3>i168>Rollinia exsucca,4-Jul,2004,July,10.5,7,
Control,B1,P3,i168,Rollinia exsucca,Control>B1>P3>i168>Rollinia exsucca,5-Jul,2005,July,11,7.5,
Control,B1,P3,i169,Rollinia exsucca,Control>B1>P3>i169>Rollinia exsucca,Nov-99,1999,November,5.7,3.85,
Control,B1,P3,i169,Rollinia exsucca,Control>B1>P3>i169>Rollinia exsucca,May-00,2000,May,6.1,4,
Control,B1,P3,i169,Rollinia exsucca,Control>B1>P3>i169>Rollinia exsucca,1-Jun,2001,June,6.5,4.5,
Control,B1,P3,i169,Rollinia exsucca,Control>B1>P3>i169>Rollinia exsucca,2-Jul,2002,July,6.7,4.7,
Control,B1,P3,i169,Rollinia exsucca,Control>B1>P3>i169>Rollinia exsucca,4-Jul,2004,July,6.7,5,
Control,B1,P3,i169,Rollinia exsucca,Control>B1>P3>i169>Rollinia exsucca,5-Jul,2005,July,6.7,5.2,
Control,B1,P3,i170,Rollinia exsucca,Control>B1>P3>i170>Rollinia exsucca,Nov-99,1999,November,4.8,3,
Control,B1,P3,i170,Rollinia exsucca,Control>B1>P3>i170>Rollinia exsucca,May-00,2000,May,5.5,4,
Control,B1,P3,i170,Rollinia exsucca,Control>B1>P3>i170>Rollinia exsucca,1-Jun,2001,June,6.3,4.4,
Control,B1,P3,i170,Rollinia exsucca,Control>B1>P3>i170>Rollinia exsucca,2-Jul,2002,July,6.4,5,
Control,B1,P3,i170,Rollinia exsucca,Control>B1>P3>i170>Rollinia exsucca,4-Jul,2004,July,7,5.5,
Control,B1,P3,i170,Rollinia exsucca,Control>B1>P3>i170>Rollinia exsucca,5-Jul,2005,July,7.1,5.7,
Control,B1,P3,i171,Rollinia exsucca,Control>B1>P3>i171>Rollinia exsucca,Nov-99,1999,November,9.3,6.4,
Control,B1,P3,i171,Rollinia exsucca,Control>B1>P3>i171>Rollinia exsucca,May-00,2000,May,11.2,7.1,
Control,B1,P3,i171,Rollinia exsucca,Control>B1>P3>i171>Rollinia exsucca,1-Jun,2001,June,12.4,7.6,
Control,B1,P3,i171,Rollinia exsucca,Control>B1>P3>i171>Rollinia exsucca,2-Jul,2002,July,12.9,8.5,
Control,B1,P3,i171,Rollinia exsucca,Control>B1>P3>i171>Rollinia exsucca,4-Jul,2004,July,13.4,9.5,
Control,B1,P3,i171,Rollinia exsucca,Control>B1>P3>i171>Rollinia exsucca,5-Jul,2005,July,14.1,10,
Control,B1,P3,i172,Banara guianensis,Control>B1>P3>i172>Banara guianensis,Nov-99,1999,November,2.5,3.2,
Control,B1,P3,i172,Banara guianensis,Control>B1>P3>i172>Banara guianensis,May-00,2000,May,3,3.4,
Control,B1,P3,i172,Banara guianensis,Control>B1>P3>i172>Banara guianensis,1-Jun,2001,June,4,3.7,
Control,B1,P3,i172,Banara guianensis,Control>B1>P3>i172>Banara guianensis,2-Jul,2002,July,4.8,4.3,
Control,B1,P3,i172,Banara guianensis,Control>B1>P3>i172>Banara guianensis,4-Jul,2004,July,5.4,5,
Control,B1,P3,i172,Banara guianensis,Control>B1>P3>i172>Banara guianensis,5-Jul,2005,July,5.4,5,
Control,B1,P3,i173,Rollinia exsucca,Control>B1>P3>i173>Rollinia exsucca,Nov-99,1999,November,11.4,5.5,
Control,B1,P3,i173,Rollinia exsucca,Control>B1>P3>i173>Rollinia exsucca,May-00,2000,May,12.7,6.5,
Control,B1,P3,i173,Rollinia exsucca,Control>B1>P3>i173>Rollinia exsucca,1-Jun,2001,June,12.7,7.5,
Control,B1,P3,i173,Rollinia exsucca,Control>B1>P3>i173>Rollinia exsucca,2-Jul,2002,July,14.3,8,
