Treatment,Block,Plot,Tree_ID,Species,Sample_ID,Measurement_Period,Year,Month,DBH,Height,Comments
Nitrogen,B2,P2,i15,Rollinia exsucca,Nitrogen>B2>P2>i15>Rollinia exsucca,Nov-99,1999,November,8.1,6.1,
Nitrogen,B2,P2,i15,Rollinia exsucca,Nitrogen>B2>P2>i15>Rollinia exsucca,May-00,2000,May,10,6.6,
Nitrogen,B2,P2,i15,Rollinia exsucca,Nitrogen>B2>P2>i15>Rollinia exsucca,1-Jun,2001,June,12.3,8,
Nitrogen,B2,P2,i15,Rollinia exsucca,Nitrogen>B2>P2>i15>Rollinia exsucca,2-Jul,2002,July,12.9,8,
Nitrogen,B2,P2,i15,Rollinia exsucca,Nitrogen>B2>P2>i15>Rollinia exsucca,4-Jul,2004,July,13.8,9,
Nitrogen,B2,P2,i15,Rollinia exsucca,Nitrogen>B2>P2>i15>Rollinia exsucca,5-Jul,2005,July,14.2,9.5,
Nitrogen,B2,P2,i16,Rollinia exsucca,Nitrogen>B2>P2>i16>Rollinia exsucca,Nov-99,1999,November,10,6.5,
Nitrogen,B2,P2,i16,Rollinia exsucca,Nitrogen>B2>P2>i16>Rollinia exsucca,May-00,2000,May,11.7,7,
Nitrogen,B2,P2,i16,Rollinia exsucca,Nitrogen>B2>P2>i16>Rollinia exsucca,1-Jun,2001,June,11.8,8.5,
Nitrogen,B2,P2,i16,Rollinia exsucca,Nitrogen>B2>P2>i16>Rollinia exsucca,2-Jul,2002,July,12,9,
Nitrogen,B2,P2,i16,Rollinia exsucca,Nitrogen>B2>P2>i16>Rollinia exsucca,4-Jul,2004,July,13,9.6,
Nitrogen,B2,P2,i16,Rollinia exsucca,Nitrogen>B2>P2>i16>Rollinia exsucca,5-Jul,2005,July,13,9.7,
Nitrogen,B2,P2,i17,Lacistema pubescens,Nitrogen>B2>P2>i17>Lacistema pubescens,Nov-99,1999,November,2.3,2.5,
Nitrogen,B2,P2,i17,Lacistema pubescens,Nitrogen>B2>P2>i17>Lacistema pubescens,May-00,2000,May,2.5,2.85,
Nitrogen,B2,P2,i17,Lacistema pubescens,Nitrogen>B2>P2>i17>Lacistema pubescens,1-Jun,2001,June,3.7,3,
Nitrogen,B2,P2,i17,Lacistema pubescens,Nitrogen>B2>P2>i17>Lacistema pubescens,2-Jul,2002,July,4.1,3.6,
Nitrogen,B2,P2,i17,Lacistema pubescens,Nitrogen>B2>P2>i17>Lacistema pubescens,4-Jul,2004,July,4.5,4,
Nitrogen,B2,P2,i17,Lacistema pubescens,Nitrogen>B2>P2>i17>Lacistema pubescens,5-Jul,2005,July,4.5,4,
Nitrogen,B2,P2,i18,Banara guianensis,Nitrogen>B2>P2>i18>Banara guianensis,Nov-99,1999,November,2.3,2.7,
Nitrogen,B2,P2,i18,Banara guianensis,Nitrogen>B2>P2>i18>Banara guianensis,May-00,2000,May,3.7,3.2,
Nitrogen,B2,P2,i18,Banara guianensis,Nitrogen>B2>P2>i18>Banara guianensis,1-Jun,2001,June,5.7,4.5,
Nitrogen,B2,P2,i18,Banara guianensis,Nitrogen>B2>P2>i18>Banara guianensis,2-Jul,2002,July,7.2,5.5,
Nitrogen,B2,P2,i18,Banara guianensis,Nitrogen>B2>P2>i18>Banara guianensis,4-Jul,2004,July,8.5,7,
Nitrogen,B2,P2,i18,Banara guianensis,Nitrogen>B2>P2>i18>Banara guianensis,5-Jul,2005,July,8.7,7.3,
Nitrogen,B2,P2,i19,Rollinia exsucca,Nitrogen>B2>P2>i19>Rollinia exsucca,Nov-99,1999,November,7,3.7,
Nitrogen,B2,P2,i19,Rollinia exsucca,Nitrogen>B2>P2>i19>Rollinia exsucca,May-00,2000,May,9.1,4.6,
Nitrogen,B2,P2,i19,Rollinia exsucca,Nitrogen>B2>P2>i19>Rollinia exsucca,1-Jun,2001,June,10.5,5.5,
Nitrogen,B2,P2,i19,Rollinia exsucca,Nitrogen>B2>P2>i19>Rollinia exsucca,2-Jul,2002,July,10.6,6,
Nitrogen,B2,P2,i19,Rollinia exsucca,Nitrogen>B2>P2>i19>Rollinia exsucca,4-Jul,2004,July,12.1,7,
Nitrogen,B2,P2,i19,Rollinia exsucca,Nitrogen>B2>P2>i19>Rollinia exsucca,5-Jul,2005,July,12.1,7.3,
Nitrogen,B2,P2,i20,Rollinia exsucca,Nitrogen>B2>P2>i20>Rollinia exsucca,Nov-99,1999,November,7.8,4,
Nitrogen,B2,P2,i20,Rollinia exsucca,Nitrogen>B2>P2>i20>Rollinia exsucca,May-00,2000,May,9.5,4.5,
Nitrogen,B2,P2,i20,Rollinia exsucca,Nitrogen>B2>P2>i20>Rollinia exsucca,1-Jun,2001,June,11.3,5.2,
Nitrogen,B2,P2,i20,Rollinia exsucca,Nitrogen>B2>P2>i20>Rollinia exsucca,2-Jul,2002,July,11.4,5.5,
Nitrogen,B2,P2,i20,Rollinia exsucca,Nitrogen>B2>P2>i20>Rollinia exsucca,4-Jul,2004,July,10.9,6,
Nitrogen,B2,P2,i20,Rollinia exsucca,Nitrogen>B2>P2>i20>Rollinia exsucca,5-Jul,2005,July,10.9,6.1,
Nitrogen,B2,P2,i21,Rollinia exsucca,Nitrogen>B2>P2>i21>Rollinia exsucca,Nov-99,1999,November,10,5.5,
Nitrogen,B2,P2,i21,Rollinia exsucca,Nitrogen>B2>P2>i21>Rollinia exsucca,May-00,2000,May,12.1,7,
Nitrogen,B2,P2,i21,Rollinia exsucca,Nitrogen>B2>P2>i21>Rollinia exsucca,1-Jun,2001,June,12.3,7.5,
Nitrogen,B2,P2,i21,Rollinia exsucca,Nitrogen>B2>P2>i21>Rollinia exsucca,2-Jul,2002,July,12.9,8,
Nitrogen,B2,P2,i21,Rollinia exsucca,Nitrogen>B2>P2>i21>Rollinia exsucca,4-Jul,2004,July,14.3,9,
Nitrogen,B2,P2,i21,Rollinia exsucca,Nitrogen>B2>P2>i21>Rollinia exsucca,5-Jul,2005,July,14.3,9.1,
Nitrogen,B2,P2,i22,Rollinia exsucca,Nitrogen>B2>P2>i22>Rollinia exsucca,Nov-99,1999,November,3,3.3,
Nitrogen,B2,P2,i22,Rollinia exsucca,Nitrogen>B2>P2>i22>Rollinia exsucca,May-00,2000,May,4.1,4.2,
Nitrogen,B2,P2,i22,Rollinia exsucca,Nitrogen>B2>P2>i22>Rollinia exsucca,1-Jun,2001,June,5.2,5,
Nitrogen,B2,P2,i22,Rollinia exsucca,Nitrogen>B2>P2>i22>Rollinia exsucca,2-Jul,2002,July,6.9,6.5,
Nitrogen,B2,P2,i22,Rollinia exsucca,Nitrogen>B2>P2>i22>Rollinia exsucca,4-Jul,2004,July,6.3,7,
Nitrogen,B2,P2,i22,Rollinia exsucca,Nitrogen>B2>P2>i22>Rollinia exsucca,5-Jul,2005,July,6.5,7.1,
Nitrogen,B2,P2,i23,Rollinia exsucca,Nitrogen>B2>P2>i23>Rollinia exsucca,Nov-99,1999,November,2.2,2.8,
Nitrogen,B2,P2,i23,Rollinia exsucca,Nitrogen>B2>P2>i23>Rollinia exsucca,May-00,2000,May,3,3.8,
Nitrogen,B2,P2,i23,Rollinia exsucca,Nitrogen>B2>P2>i23>Rollinia exsucca,1-Jun,2001,June,3.7,4,
Nitrogen,B2,P2,i23,Rollinia exsucca,Nitrogen>B2>P2>i23>Rollinia exsucca,2-Jul,2002,July,3.7,4.2,
Nitrogen,B2,P2,i23,Rollinia exsucca,Nitrogen>B2>P2>i23>Rollinia exsucca,4-Jul,2004,July,3.9,5,
Nitrogen,B2,P2,i23,Rollinia exsucca,Nitrogen>B2>P2>i23>Rollinia exsucca,5-Jul,2005,July,4.3,5.1,
Nitrogen,B2,P2,i24,Solanum crinitum,Nitrogen>B2>P2>i24>Solanum crinitum,Nov-99,1999,November,4.3,5.6,Fallen over
Nitrogen,B2,P2,i24,Solanum crinitum,Nitrogen>B2>P2>i24>Solanum crinitum,May-00,2000,May,4.5,5.8,
Nitrogen,B2,P2,i24,Solanum crinitum,Nitrogen>B2>P2>i24>Solanum crinitum,1-Jun,2001,June,4.3,5.9,
Nitrogen,B2,P2,i25,Solanum crinitum,Nitrogen>B2>P2>i25>Solanum crinitum,Nov-99,1999,November,3.8,4.1,Fallen over
Nitrogen,B2,P2,i25,Solanum crinitum,Nitrogen>B2>P2>i25>Solanum crinitum,May-00,2000,May,4,4.5,
Nitrogen,B2,P2,i26,Cecropia palmata,Nitrogen>B2>P2>i26>Cecropia palmata,Nov-99,1999,November,2.1,2,
Nitrogen,B2,P2,i26,Cecropia palmata,Nitrogen>B2>P2>i26>Cecropia palmata,May-00,2000,May,3.7,3.6,
Nitrogen,B2,P2,i26,Cecropia palmata,Nitrogen>B2>P2>i26>Cecropia palmata,1-Jun,2001,June,8.1,7.5,
Nitrogen,B2,P2,i26,Cecropia palmata,Nitrogen>B2>P2>i26>Cecropia palmata,2-Jul,2002,July,9.8,10,
Nitrogen,B2,P2,i26,Cecropia palmata,Nitrogen>B2>P2>i26>Cecropia palmata,4-Jul,2004,July,11.4,14,
Nitrogen,B2,P2,i26,Cecropia palmata,Nitrogen>B2>P2>i26>Cecropia palmata,5-Jul,2005,July,13.4,14.5,
Nitrogen,B2,P2,i27,Rollinia exsucca,Nitrogen>B2>P2>i27>Rollinia exsucca,Nov-99,1999,November,3.7,2.8,
Nitrogen,B2,P2,i27,Rollinia exsucca,Nitrogen>B2>P2>i27>Rollinia exsucca,May-00,2000,May,5.5,3.7,
Nitrogen,B2,P2,i27,Rollinia exsucca,Nitrogen>B2>P2>i27>Rollinia exsucca,1-Jun,2001,June,6.5,4.5,
Nitrogen,B2,P2,i27,Rollinia exsucca,Nitrogen>B2>P2>i27>Rollinia exsucca,2-Jul,2002,July,7,4.9,
Nitrogen,B2,P2,i27,Rollinia exsucca,Nitrogen>B2>P2>i27>Rollinia exsucca,4-Jul,2004,July,7.6,6,
Nitrogen,B2,P2,i27,Rollinia exsucca,Nitrogen>B2>P2>i27>Rollinia exsucca,5-Jul,2005,July,7.6,6.2,
Nitrogen,B2,P2,i28,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i28>Zanthoxylum rhoifolium,Nov-99,1999,November,3.5,3,
Nitrogen,B2,P2,i28,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i28>Zanthoxylum rhoifolium,May-00,2000,May,6,4,
Nitrogen,B2,P2,i28,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i28>Zanthoxylum rhoifolium,1-Jun,2001,June,8.1,4.6,
Nitrogen,B2,P2,i28,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i28>Zanthoxylum rhoifolium,2-Jul,2002,July,8.6,5,
Nitrogen,B2,P2,i29,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i29>Zanthoxylum rhoifolium,Nov-99,1999,November,2.5,2.3,
Nitrogen,B2,P2,i29,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i29>Zanthoxylum rhoifolium,May-00,2000,May,3.7,3.6,
Nitrogen,B2,P2,i29,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i29>Zanthoxylum rhoifolium,1-Jun,2001,June,4.7,4,
Nitrogen,B2,P2,i29,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i29>Zanthoxylum rhoifolium,2-Jul,2002,July,4.8,4.6,
Nitrogen,B2,P2,i30,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i30>Zanthoxylum rhoifolium,Nov-99,1999,November,2.2,2.5,
Nitrogen,B2,P2,i30,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i30>Zanthoxylum rhoifolium,May-00,2000,May,3.8,3.5,
Nitrogen,B2,P2,i30,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i30>Zanthoxylum rhoifolium,1-Jun,2001,June,4.6,4,
Nitrogen,B2,P2,i30,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i30>Zanthoxylum rhoifolium,2-Jul,2002,July,6,4.2,
Nitrogen,B2,P2,i30,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i30>Zanthoxylum rhoifolium,4-Jul,2004,July,6.2,5,
Nitrogen,B2,P2,i30,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i30>Zanthoxylum rhoifolium,5-Jul,2005,July,6.2,5.6,
Nitrogen,B2,P2,i31,Rollinia exsucca,Nitrogen>B2>P2>i31>Rollinia exsucca,Nov-99,1999,November,7.8,3.9,
Nitrogen,B2,P2,i31,Rollinia exsucca,Nitrogen>B2>P2>i31>Rollinia exsucca,May-00,2000,May,9.9,5.6,
Nitrogen,B2,P2,i31,Rollinia exsucca,Nitrogen>B2>P2>i31>Rollinia exsucca,1-Jun,2001,June,9.9,6,
Nitrogen,B2,P2,i31,Rollinia exsucca,Nitrogen>B2>P2>i31>Rollinia exsucca,2-Jul,2002,July,13.9,7,
Nitrogen,B2,P2,i31,Rollinia exsucca,Nitrogen>B2>P2>i31>Rollinia exsucca,4-Jul,2004,July,15.3,8,
Nitrogen,B2,P2,i31,Rollinia exsucca,Nitrogen>B2>P2>i31>Rollinia exsucca,5-Jul,2005,July,15.8,8.5,
Nitrogen,B2,P2,i32,Rollinia exsucca,Nitrogen>B2>P2>i32>Rollinia exsucca,Nov-99,1999,November,9.3,4.6,
Nitrogen,B2,P2,i32,Rollinia exsucca,Nitrogen>B2>P2>i32>Rollinia exsucca,May-00,2000,May,10.2,5.2,
Nitrogen,B2,P2,i32,Rollinia exsucca,Nitrogen>B2>P2>i32>Rollinia exsucca,1-Jun,2001,June,10.9,6.1,
Nitrogen,B2,P2,i32,Rollinia exsucca,Nitrogen>B2>P2>i32>Rollinia exsucca,2-Jul,2002,July,11.4,7,
Nitrogen,B2,P2,i32,Rollinia exsucca,Nitrogen>B2>P2>i32>Rollinia exsucca,4-Jul,2004,July,12.5,7,
Nitrogen,B2,P2,i32,Rollinia exsucca,Nitrogen>B2>P2>i32>Rollinia exsucca,5-Jul,2005,July,12.6,7.1,
Nitrogen,B2,P2,i33,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i33>Zanthoxylum rhoifolium,Nov-99,1999,November,5.4,3.8,
Nitrogen,B2,P2,i33,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i33>Zanthoxylum rhoifolium,May-00,2000,May,8.5,5.2,
Nitrogen,B2,P2,i33,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i33>Zanthoxylum rhoifolium,1-Jun,2001,June,10.4,6.1,
Nitrogen,B2,P2,i33,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i33>Zanthoxylum rhoifolium,2-Jul,2002,July,13,6.7,
Nitrogen,B2,P2,i33,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i33>Zanthoxylum rhoifolium,4-Jul,2004,July,15,7.5,
Nitrogen,B2,P2,i34,Rollinia exsucca,Nitrogen>B2>P2>i34>Rollinia exsucca,Nov-99,1999,November,2.7,2.75,
Nitrogen,B2,P2,i34,Rollinia exsucca,Nitrogen>B2>P2>i34>Rollinia exsucca,May-00,2000,May,4.3,3.6,
Nitrogen,B2,P2,i34,Rollinia exsucca,Nitrogen>B2>P2>i34>Rollinia exsucca,1-Jun,2001,June,5.7,4.5,
Nitrogen,B2,P2,i34,Rollinia exsucca,Nitrogen>B2>P2>i34>Rollinia exsucca,2-Jul,2002,July,6.5,4.7,
Nitrogen,B2,P2,i34,Rollinia exsucca,Nitrogen>B2>P2>i34>Rollinia exsucca,4-Jul,2004,July,8,8.5,
Nitrogen,B2,P2,i34,Rollinia exsucca,Nitrogen>B2>P2>i34>Rollinia exsucca,5-Jul,2005,July,8.7,8.6,
Nitrogen,B2,P2,i35,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i35>Zanthoxylum rhoifolium,Nov-99,1999,November,5.3,3,
Nitrogen,B2,P2,i35,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i35>Zanthoxylum rhoifolium,May-00,2000,May,6.9,3.7,
Nitrogen,B2,P2,i35,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i35>Zanthoxylum rhoifolium,1-Jun,2001,June,8.3,4.5,
Nitrogen,B2,P2,i35,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i35>Zanthoxylum rhoifolium,2-Jul,2002,July,10.7,4.7,
Nitrogen,B2,P2,i35,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i35>Zanthoxylum rhoifolium,4-Jul,2004,July,10.6,5.5,
Nitrogen,B2,P2,i35,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i35>Zanthoxylum rhoifolium,5-Jul,2005,July,10.9,5.7,
Nitrogen,B2,P2,i36,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i36>Zanthoxylum rhoifolium,Nov-99,1999,November,8,5.8,
Nitrogen,B2,P2,i36,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i36>Zanthoxylum rhoifolium,May-00,2000,May,9.4,6,
Nitrogen,B2,P2,i36,Zanthoxylum rhoifolium,Nitrogen>B2>P2>i36>Zanthoxylum rhoifolium,1-Jun,2001,June,9.7,6.5,
Nitrogen,B2,P2,i37,Solanum crinitum,Nitrogen>B2>P2>i37>Solanum crinitum,Nov-99,1999,November,3.8,3.5,
Nitrogen,B2,P2,i37,Solanum crinitum,Nitrogen>B2>P2>i37>Solanum crinitum,May-00,2000,May,3.8,3.6,
Nitrogen,B2,P2,i38,Rollinia exsucca,Nitrogen>B2>P2>i38>Rollinia exsucca,Nov-99,1999,November,4.5,3,
Nitrogen,B2,P2,i38,Rollinia exsucca,Nitrogen>B2>P2>i38>Rollinia exsucca,May-00,2000,May,5.3,3.9,
Nitrogen,B2,P2,i38,Rollinia exsucca,Nitrogen>B2>P2>i38>Rollinia exsucca,1-Jun,2001,June,6.6,4.2,
Nitrogen,B2,P2,i38,Rollinia exsucca,Nitrogen>B2>P2>i38>Rollinia exsucca,2-Jul,2002,July,7.2,4.5,
Nitrogen,B2,P2,i38,Rollinia exsucca,Nitrogen>B2>P2>i38>Rollinia exsucca,4-Jul,2004,July,7.4,5,
Nitrogen,B2,P2,i38,Rollinia exsucca,Nitrogen>B2>P2>i38>Rollinia exsucca,5-Jul,2005,July,7.4,5.3,
Nitrogen,B2,P2,i39,Rollinia exsucca,Nitrogen>B2>P2>i39>Rollinia exsucca,Nov-99,1999,November,7,4.2,
Nitrogen,B2,P2,i39,Rollinia exsucca,Nitrogen>B2>P2>i39>Rollinia exsucca,May-00,2000,May,7.5,5.2,
Nitrogen,B2,P2,i39,Rollinia exsucca,Nitrogen>B2>P2>i39>Rollinia exsucca,1-Jun,2001,June,7.8,5.4,
Nitrogen,B2,P2,i39,Rollinia exsucca,Nitrogen>B2>P2>i39>Rollinia exsucca,2-Jul,2002,July,8.2,5.7,
Nitrogen,B2,P2,i39,Rollinia exsucca,Nitrogen>B2>P2>i39>Rollinia exsucca,4-Jul,2004,July,8.8,6,
Nitrogen,B2,P2,i39,Rollinia exsucca,Nitrogen>B2>P2>i39>Rollinia exsucca,5-Jul,2005,July,9,6.3,
Nitrogen,B2,P2,i40,Rollinia exsucca,Nitrogen>B2>P2>i40>Rollinia exsucca,Nov-99,1999,November,4.2,3.29,
Nitrogen,B2,P2,i40,Rollinia exsucca,Nitrogen>B2>P2>i40>Rollinia exsucca,May-00,2000,May,6.9,4.15,
Nitrogen,B2,P2,i40,Rollinia exsucca,Nitrogen>B2>P2>i40>Rollinia exsucca,1-Jun,2001,June,8.5,4.5,
Nitrogen,B2,P2,i40,Rollinia exsucca,Nitrogen>B2>P2>i40>Rollinia exsucca,2-Jul,2002,July,9.5,4.9,
Nitrogen,B2,P2,i40,Rollinia exsucca,Nitrogen>B2>P2>i40>Rollinia exsucca,4-Jul,2004,July,9.6,6,
Nitrogen,B2,P2,i40,Rollinia exsucca,Nitrogen>B2>P2>i40>Rollinia exsucca,5-Jul,2005,July,10.6,6.3,
Nitrogen,B2,P2,i41,Rollinia exsucca,Nitrogen>B2>P2>i41>Rollinia exsucca,Nov-99,1999,November,5.1,3.6,
Nitrogen,B2,P2,i41,Rollinia exsucca,Nitrogen>B2>P2>i41>Rollinia exsucca,May-00,2000,May,7.2,5.5,
Nitrogen,B2,P2,i41,Rollinia exsucca,Nitrogen>B2>P2>i41>Rollinia exsucca,1-Jun,2001,June,8.8,6,
Nitrogen,B2,P2,i41,Rollinia exsucca,Nitrogen>B2>P2>i41>Rollinia exsucca,2-Jul,2002,July,9.3,6.1,
Nitrogen,B2,P2,i41,Rollinia exsucca,Nitrogen>B2>P2>i41>Rollinia exsucca,4-Jul,2004,July,10.8,7,
Nitrogen,B2,P2,i41,Rollinia exsucca,Nitrogen>B2>P2>i41>Rollinia exsucca,5-Jul,2005,July,12.3,7.5,
Nitrogen,B2,P2,i42,Rollinia exsucca,Nitrogen>B2>P2>i42>Rollinia exsucca,Nov-99,1999,November,3.7,3,
Nitrogen,B2,P2,i42,Rollinia exsucca,Nitrogen>B2>P2>i42>Rollinia exsucca,May-00,2000,May,5.6,3.5,
Nitrogen,B2,P2,i42,Rollinia exsucca,Nitrogen>B2>P2>i42>Rollinia exsucca,1-Jun,2001,June,6.3,4.7,
Nitrogen,B2,P2,i42,Rollinia exsucca,Nitrogen>B2>P2>i42>Rollinia exsucca,2-Jul,2002,July,7.4,5,
Nitrogen,B2,P2,i42,Rollinia exsucca,Nitrogen>B2>P2>i42>Rollinia exsucca,4-Jul,2004,July,8.1,6,
Nitrogen,B2,P2,i42,Rollinia exsucca,Nitrogen>B2>P2>i42>Rollinia exsucca,5-Jul,2005,July,8.1,6.1,
Nitrogen,B2,P2,i43,Rollinia exsucca,Nitrogen>B2>P2>i43>Rollinia exsucca,Nov-99,1999,November,7,3.4,
Nitrogen,B2,P2,i43,Rollinia exsucca,Nitrogen>B2>P2>i43>Rollinia exsucca,May-00,2000,May,7.5,4.6,
Nitrogen,B2,P2,i43,Rollinia exsucca,Nitrogen>B2>P2>i43>Rollinia exsucca,1-Jun,2001,June,7.9,5,
Nitrogen,B2,P2,i43,Rollinia exsucca,Nitrogen>B2>P2>i43>Rollinia exsucca,2-Jul,2002,July,7.9,5.4,
Nitrogen,B2,P2,i43,Rollinia exsucca,Nitrogen>B2>P2>i43>Rollinia exsucca,4-Jul,2004,July,7.8,6.5,
Nitrogen,B2,P2,i43,Rollinia exsucca,Nitrogen>B2>P2>i43>Rollinia exsucca,5-Jul,2005,July,7.8,6.6,
Nitrogen,B2,P2,i44,Rollinia exsucca,Nitrogen>B2>P2>i44>Rollinia exsucca,Nov-99,1999,November,5.6,3.1,
Nitrogen,B2,P2,i44,Rollinia exsucca,Nitrogen>B2>P2>i44>Rollinia exsucca,May-00,2000,May,7.5,4.6,
Nitrogen,B2,P2,i44,Rollinia exsucca,Nitrogen>B2>P2>i44>Rollinia exsucca,1-Jun,2001,June,10.1,5.5,
Nitrogen,B2,P2,i44,Rollinia exsucca,Nitrogen>B2>P2>i44>Rollinia exsucca,2-Jul,2002,July,10.8,6.1,
Nitrogen,B2,P2,i44,Rollinia exsucca,Nitrogen>B2>P2>i44>Rollinia exsucca,4-Jul,2004,July,12.3,6.5,
Nitrogen,B2,P2,i44,Rollinia exsucca,Nitrogen>B2>P2>i44>Rollinia exsucca,5-Jul,2005,July,12.3,6.7,
Nitrogen,B2,P2,i45,Rollinia exsucca,Nitrogen>B2>P2>i45>Rollinia exsucca,Nov-99,1999,November,6.7,4.4,
Nitrogen,B2,P2,i45,Rollinia exsucca,Nitrogen>B2>P2>i45>Rollinia exsucca,May-00,2000,May,8.5,5.4,
Nitrogen,B2,P2,i45,Rollinia exsucca,Nitrogen>B2>P2>i45>Rollinia exsucca,1-Jun,2001,June,11.7,6.5,
Nitrogen,B2,P2,i45,Rollinia exsucca,Nitrogen>B2>P2>i45>Rollinia exsucca,2-Jul,2002,July,12.3,7.5,
Nitrogen,B2,P2,i45,Rollinia exsucca,Nitrogen>B2>P2>i45>Rollinia exsucca,4-Jul,2004,July,12.8,8,
Nitrogen,B2,P2,i45,Rollinia exsucca,Nitrogen>B2>P2>i45>Rollinia exsucca,5-Jul,2005,July,13.3,8.3,
Nitrogen,B2,P2,i46,Rollinia exsucca,Nitrogen>B2>P2>i46>Rollinia exsucca,Nov-99,1999,November,5.2,3.6,
Nitrogen,B2,P2,i46,Rollinia exsucca,Nitrogen>B2>P2>i46>Rollinia exsucca,May-00,2000,May,6.7,5,
Nitrogen,B2,P2,i46,Rollinia exsucca,Nitrogen>B2>P2>i46>Rollinia exsucca,1-Jun,2001,June,8,6,
Nitrogen,B2,P2,i46,Rollinia exsucca,Nitrogen>B2>P2>i46>Rollinia exsucca,2-Jul,2002,July,8.8,6.2,
Nitrogen,B2,P2,i46,Rollinia exsucca,Nitrogen>B2>P2>i46>Rollinia exsucca,4-Jul,2004,July,10,8,
Nitrogen,B2,P2,i46,Rollinia exsucca,Nitrogen>B2>P2>i46>Rollinia exsucca,5-Jul,2005,July,10,8.2,
Nitrogen,B2,P2,i47,Rollinia exsucca,Nitrogen>B2>P2>i47>Rollinia exsucca,Nov-99,1999,November,6.6,4.5,
Nitrogen,B2,P2,i47,Rollinia exsucca,Nitrogen>B2>P2>i47>Rollinia exsucca,May-00,2000,May,9.1,5.5,
Nitrogen,B2,P2,i47,Rollinia exsucca,Nitrogen>B2>P2>i47>Rollinia exsucca,1-Jun,2001,June,10.8,6.5,
Nitrogen,B2,P2,i47,Rollinia exsucca,Nitrogen>B2>P2>i47>Rollinia exsucca,2-Jul,2002,July,11.8,6.9,
Nitrogen,B2,P2,i47,Rollinia exsucca,Nitrogen>B2>P2>i47>Rollinia exsucca,4-Jul,2004,July,12,7.5,
Nitrogen,B2,P2,i47,Rollinia exsucca,Nitrogen>B2>P2>i47>Rollinia exsucca,5-Jul,2005,July,12.6,7.5,
Nitrogen,B2,P2,i48,Rollinia exsucca,Nitrogen>B2>P2>i48>Rollinia exsucca,Nov-99,1999,November,7.5,4.5,
Nitrogen,B2,P2,i48,Rollinia exsucca,Nitrogen>B2>P2>i48>Rollinia exsucca,May-00,2000,May,9.3,5.5,
Nitrogen,B2,P2,i48,Rollinia exsucca,Nitrogen>B2>P2>i48>Rollinia exsucca,1-Jun,2001,June,9.9,6.5,
Nitrogen,B2,P2,i48,Rollinia exsucca,Nitrogen>B2>P2>i48>Rollinia exsucca,2-Jul,2002,July,10.6,7,
Nitrogen,B2,P2,i48,Rollinia exsucca,Nitrogen>B2>P2>i48>Rollinia exsucca,4-Jul,2004,July,12,8,
Nitrogen,B2,P2,i48,Rollinia exsucca,Nitrogen>B2>P2>i48>Rollinia exsucca,5-Jul,2005,July,12,8.2,
Nitrogen,B2,P2,i49,Rollinia exsucca,Nitrogen>B2>P2>i49>Rollinia exsucca,Nov-99,1999,November,4.8,3.6,
Nitrogen,B2,P2,i49,Rollinia exsucca,Nitrogen>B2>P2>i49>Rollinia exsucca,May-00,2000,May,6.8,4.2,
Nitrogen,B2,P2,i49,Rollinia exsucca,Nitrogen>B2>P2>i49>Rollinia exsucca,1-Jun,2001,June,7.2,5.5,
Nitrogen,B2,P2,i49,Rollinia exsucca,Nitrogen>B2>P2>i49>Rollinia exsucca,2-Jul,2002,July,7.2,5.6,
Nitrogen,B2,P2,i49,Rollinia exsucca,Nitrogen>B2>P2>i49>Rollinia exsucca,4-Jul,2004,July,7.6,6.5,
Nitrogen,B2,P2,i49,Rollinia exsucca,Nitrogen>B2>P2>i49>Rollinia exsucca,5-Jul,2005,July,9.7,6.7,
Nitrogen,B2,P2,i50,Rollinia exsucca,Nitrogen>B2>P2>i50>Rollinia exsucca,Nov-99,1999,November,5.6,3.58,
Nitrogen,B2,P2,i50,Rollinia exsucca,Nitrogen>B2>P2>i50>Rollinia exsucca,May-00,2000,May,6.8,4.2,
